customer_id,basket,basket_items,basket_size
49046112,"34,30,45,10,42,27,38,23,1,37","[34, 30, 45, 10, 42, 27, 38, 23, 1, 37]",10
68418131,"6,42","[6, 42]",2
16771901,"18,15,7,46,25","[18, 15, 7, 46, 25]",5
45674084,"17,22,36,41,7,39,13,6,2","[17, 22, 36, 41, 7, 39, 13, 6, 2]",9
78523571,"2,42,48,17,15,25,22","[2, 42, 48, 17, 15, 25, 22]",7
45957396,"17,2,42,10","[17, 2, 42, 10]",4
72533845,"40,46,32,2,20,6,17,42,10,1,9,34,22,8","[40, 46, 32, 2, 20, 6, 17, 42, 10, 1, 9, 34, 22, 8]",14
69433515,"9,38,43,2,44","[9, 38, 43, 2, 44]",5
75430280,"44,14,28,42,10,27","[44, 14, 28, 42, 10, 27]",6
81016069,"37,26,45","[37, 26, 45]",3
66419760,"10,45","[10, 45]",2
95718157,"34,7,36,40,2,46","[34, 7, 36, 40, 2, 46]",6
78786289,"21,1,3,43,37,2,22,34","[21, 1, 3, 43, 37, 2, 22, 34]",8
76562813,"23,38,37,34,27,18,5,40,4,6","[23, 38, 37, 34, 27, 18, 5, 40, 4, 6]",10
25404946,"45,44,2,21,16,27,37,23,39,13,24,47,11,34","[45, 44, 2, 21, 16, 27, 37, 23, 39, 13, 24, 47, 11, 34]",14
20356345,"41,10,42,16,14,47,26,28","[41, 10, 42, 16, 14, 47, 26, 28]",8
73438748,37,[37],1
96684139,"46,48","[46, 48]",2
23362007,"23,38,2,9,10,35,8,1","[23, 38, 2, 9, 10, 35, 8, 1]",8
24991081,"11,23,43,9,34,22,42,20,18,45,38,3","[11, 23, 43, 9, 34, 22, 42, 20, 18, 45, 38, 3]",12
58589876,"5,12,47,17,6,39,32,7,33,2,18,37,36,46,3,45,44","[5, 12, 47, 17, 6, 39, 32, 7, 33, 2, 18, 37, 36, 46, 3, 45, 44]",17
93938165,"31,43","[31, 43]",2
4650452,"34,13,36,8,48,42,12,20,37,32,45,46","[34, 13, 36, 8, 48, 42, 12, 20, 37, 32, 45, 46]",12
49743770,"1,41,15","[1, 41, 15]",3
70536668,"34,32,39","[34, 32, 39]",3
76700644,"9,32,20,36,25,40,42,1,12,37","[9, 32, 20, 36, 25, 40, 42, 1, 12, 37]",10
32655423,"3,2,21,20,18,26","[3, 2, 21, 20, 18, 26]",6
37715648,"12,28,41,36,10,45,48,38,9","[12, 28, 41, 36, 10, 45, 48, 38, 9]",9
87142301,"31,38","[31, 38]",2
19717856,"21,33,9,1,23,43,16,32,20,2","[21, 33, 9, 1, 23, 43, 16, 32, 20, 2]",10
39931720,"48,14,23,19,13,29,39,38,3,2,18,35,46,32,10,45,47","[48, 14, 23, 19, 13, 29, 39, 38, 3, 2, 18, 35, 46, 32, 10, 45, 47]",17
94397750,"28,21,20,5,11,2,45,12,43,46,32,15,9,17","[28, 21, 20, 5, 11, 2, 45, 12, 43, 46, 32, 15, 9, 17]",14
35540202,37,[37],1
10684197,"9,17,47,8,46,33,6,5,11","[9, 17, 47, 8, 46, 33, 6, 5, 11]",9
13180137,13,[13],1
86518770,"46,16,47,6,12,34,26,20,40,21,32,8,43,9,38,45","[46, 16, 47, 6, 12, 34, 26, 20, 40, 21, 32, 8, 43, 9, 38, 45]",16
39486364,"28,18,2,48,38","[28, 18, 2, 48, 38]",5
15954239,"9,38,31,25,40,21,48","[9, 38, 31, 25, 40, 21, 48]",7
81916827,"22,25,45,37,39,17,34,44,1,6,47,42,14,48,8,2","[22, 25, 45, 37, 39, 17, 34, 44, 1, 6, 47, 42, 14, 48, 8, 2]",16
65655993,"19,38,9,1,3,22,36,39,10,37,28,24,33","[19, 38, 9, 1, 3, 22, 36, 39, 10, 37, 28, 24, 33]",13
62569809,"37,46,41,28,38,39","[37, 46, 41, 28, 38, 39]",6
67317949,"13,37,42,10,5,1,2,28,27","[13, 37, 42, 10, 5, 1, 2, 28, 27]",9
64681395,"45,42,10,20,5,8,44,43,32,34,23","[45, 42, 10, 20, 5, 8, 44, 43, 32, 34, 23]",11
56885335,"23,10,26,28,1,20,32,25,45,2,22,36,38","[23, 10, 26, 28, 1, 20, 32, 25, 45, 2, 22, 36, 38]",13
79718676,"37,25,40,47,19,8,32,4,1,41,2,36,45,23,42,26,39","[37, 25, 40, 47, 19, 8, 32, 4, 1, 41, 2, 36, 45, 23, 42, 26, 39]",17
18549386,"42,40,37,34,16,21,31,5,46,25,2,9,28","[42, 40, 37, 34, 16, 21, 31, 5, 46, 25, 2, 9, 28]",13
76133463,"9,23,28,37,38,45,1,48,10,42,14,43,7,2,18","[9, 23, 28, 37, 38, 45, 1, 48, 10, 42, 14, 43, 7, 2, 18]",15
84135936,"2,48,21,6,47,1,8,5,17,32,40,46","[2, 48, 21, 6, 47, 1, 8, 5, 17, 32, 40, 46]",12
31029526,"2,42,10,45,16,24,21,8,38,22,27,44","[2, 42, 10, 45, 16, 24, 21, 8, 38, 22, 27, 44]",12
58252707,"22,28,41,17,45,16,14,8,46,10,2","[22, 28, 41, 17, 45, 16, 14, 8, 46, 10, 2]",11
56391260,"40,42,22,43,28,36,32,37","[40, 42, 22, 43, 28, 36, 32, 37]",8
74877908,"43,40,18,10","[43, 40, 18, 10]",4
79848360,"30,25,13,12,26,10,46,17","[30, 25, 13, 12, 26, 10, 46, 17]",8
87864068,"31,11,44,32,40,2,4,17,41","[31, 11, 44, 32, 40, 2, 4, 17, 41]",9
61033553,"47,17,1,6,38,9,37,39,32,41,26","[47, 17, 1, 6, 38, 9, 37, 39, 32, 41, 26]",11
36747099,"47,21,45,2,42,46,32,40,31,30","[47, 21, 45, 2, 42, 46, 32, 40, 31, 30]",10
99528344,"17,42,44,45,2,10,47,29","[17, 42, 44, 45, 2, 10, 47, 29]",8
16882617,"15,46,25,32,20,6,34,28,13,2,10,41","[15, 46, 25, 32, 20, 6, 34, 28, 13, 2, 10, 41]",12
47518794,"28,9,43,23,48,38,27,16,24,13,39,10,7,42","[28, 9, 43, 23, 48, 38, 27, 16, 24, 13, 39, 10, 7, 42]",14
15115154,"20,25,40,23,43,2,32,10","[20, 25, 40, 23, 43, 2, 32, 10]",8
94460177,"37,13,34,39","[37, 13, 34, 39]",4
40993074,"34,36,32,18,31,44,2","[34, 36, 32, 18, 31, 44, 2]",7
98046812,"33,9,13,39,7,48,6,37,24","[33, 9, 13, 39, 7, 48, 6, 37, 24]",9
46377380,"14,33,34,28,25,46,17,22,36","[14, 33, 34, 28, 25, 46, 17, 22, 36]",9
92466697,"41,42,45,2,44,20,37,32,28,23,3,15","[41, 42, 45, 2, 44, 20, 37, 32, 28, 23, 3, 15]",12
70698006,"45,44,1,14,32,22,35,18,25","[45, 44, 1, 14, 32, 22, 35, 18, 25]",9
58372336,"17,40,2","[17, 40, 2]",3
20033936,"37,43,23,2,44,36","[37, 43, 23, 2, 44, 36]",6
21544011,20,[20],1
57299337,"10,44","[10, 44]",2
73455420,"18,17,25,29,19,41,2,22,36,5,23,43,37,39","[18, 17, 25, 29, 19, 41, 2, 22, 36, 5, 23, 43, 37, 39]",14
67389662,"26,2,42,44,37","[26, 2, 42, 44, 37]",5
4088095,"8,17,23,9,1,16,14,4,39,37,27","[8, 17, 23, 9, 1, 16, 14, 4, 39, 37, 27]",11
99859145,"6,47,34,3,27,2,38,4,23,43","[6, 47, 34, 3, 27, 2, 38, 4, 23, 43]",10
4100231,"44,25,23,9,26,18,45,10,42,2,33,14,16,32,12","[44, 25, 23, 9, 26, 18, 45, 10, 42, 2, 33, 14, 16, 32, 12]",15
85612043,39,[39],1
15608234,"40,23,2,18,27,43,9,45,44,10,38,24,39,14","[40, 23, 2, 18, 27, 43, 9, 45, 44, 10, 38, 24, 39, 14]",14
8799296,"3,47,6,5,30,1,13,48,11,32,25,20","[3, 47, 6, 5, 30, 1, 13, 48, 11, 32, 25, 20]",12
39196148,"17,41,34,15,7,37,42,3,47","[17, 41, 34, 15, 7, 37, 42, 3, 47]",9
77519013,"10,45,9,43,13,47,17,1,23,36,16,48","[10, 45, 9, 43, 13, 47, 17, 1, 23, 36, 16, 48]",12
15449780,"38,45","[38, 45]",2
75727053,"41,23,38,43,47,3,36,7,44,42,34,39,40","[41, 23, 38, 43, 47, 3, 36, 7, 44, 42, 34, 39, 40]",13
83683336,"17,47,45,2,36,26,28,6,43,18,7,3,33,12,41","[17, 47, 45, 2, 36, 26, 28, 6, 43, 18, 7, 3, 33, 12, 41]",15
9819796,"2,9,43,30,10,42,44,45","[2, 9, 43, 30, 10, 42, 44, 45]",8
50281714,"14,16,46,23,43,25,9","[14, 16, 46, 23, 43, 25, 9]",7
78974029,"27,36,15,18","[27, 36, 15, 18]",4
58312011,"47,23,21,42,22,45,39,37,34,25,20,40,46,9","[47, 23, 21, 42, 22, 45, 39, 37, 34, 25, 20, 40, 46, 9]",14
67896664,"25,20,32,44,21,37,34,18,39","[25, 20, 32, 44, 21, 37, 34, 18, 39]",9
40011071,"47,17,2,15,33","[47, 17, 2, 15, 33]",5
4538161,"19,12,47,43,46","[19, 12, 47, 43, 46]",5
22343044,"25,40,32,13,44,2,46,21,43,17","[25, 40, 32, 13, 44, 2, 46, 21, 43, 17]",10
98913731,"47,17,18,21,16","[47, 17, 18, 21, 16]",5
97492310,"40,25,2,17,44,20","[40, 25, 2, 17, 44, 20]",6
74840354,"3,20,32,36,39","[3, 20, 32, 36, 39]",5
56715645,"12,47,4,10,13,27,25,30,16,21,48,18,9","[12, 47, 4, 10, 13, 27, 25, 30, 16, 21, 48, 18, 9]",13
72506225,"20,25,46,26,2,40,34,17,47,21,38,44,22,42,36,39,48,24,45","[20, 25, 46, 26, 2, 40, 34, 17, 47, 21, 38, 44, 22, 42, 36, 39, 48, 24, 45]",19
84291003,"11,6,44,37,2,21,3,36,35,20,22,40,42,45,46,17","[11, 6, 44, 37, 2, 21, 3, 36, 35, 20, 22, 40, 42, 45, 46, 17]",16
74197368,"46,25,8,16,6,2,10,42,45,34,37,14,7","[46, 25, 8, 16, 6, 2, 10, 42, 45, 34, 37, 14, 7]",13
39067798,"44,2,43,34,28,45","[44, 2, 43, 34, 28, 45]",6
26592652,"43,34,9,13,22,7,15,45,16,48,8,10,42,17,6","[43, 34, 9, 13, 22, 7, 15, 45, 16, 48, 8, 10, 42, 17, 6]",15
35957693,"3,18,44,42,38","[3, 18, 44, 42, 38]",5
13514144,"13,10,32,43","[13, 10, 32, 43]",4
74294028,"1,5,45,44","[1, 5, 45, 44]",4
9235038,"3,2,12,1,42,45,7","[3, 2, 12, 1, 42, 45, 7]",7
79212182,"40,20,6,10","[40, 20, 6, 10]",4
75523683,"47,15,24","[47, 15, 24]",3
53779230,"32,38,23,9","[32, 38, 23, 9]",4
99843261,"16,20,25,1,27,33,38,23,9","[16, 20, 25, 1, 27, 33, 38, 23, 9]",9
38082550,"25,1,2,28,40,9,10,44,48,16,45,42,37","[25, 1, 2, 28, 40, 9, 10, 44, 48, 16, 45, 42, 37]",13
10638462,"16,27,48,8,46,25,41,20,29,43,10,42,14","[16, 27, 48, 8, 46, 25, 41, 20, 29, 43, 10, 42, 14]",13
97906114,"13,34,17,26,38,43,9,18,46,40,6,3","[13, 34, 17, 26, 38, 43, 9, 18, 46, 40, 6, 3]",12
7180494,"38,17,33,45,43,42","[38, 17, 33, 45, 43, 42]",6
46238471,"36,9,14,12,27,39,10,2,45","[36, 9, 14, 12, 27, 39, 10, 2, 45]",9
19248483,"4,37","[4, 37]",2
25974994,"37,28,38,47,33,17","[37, 28, 38, 47, 33, 17]",6
17945086,"9,23,38,44,2,10","[9, 23, 38, 44, 2, 10]",6
37160597,"17,47,7,38,23,18,1","[17, 47, 7, 38, 23, 18, 1]",7
39256890,"36,19,45,2,44,25,9,47","[36, 19, 45, 2, 44, 25, 9, 47]",8
78985007,"38,23","[38, 23]",2
26947910,"10,8,6,37,27,21,3,39,45,9","[10, 8, 6, 37, 27, 21, 3, 39, 45, 9]",10
21202370,"5,22,11,38,18,32,2,28,45,44","[5, 22, 11, 38, 18, 32, 2, 28, 45, 44]",10
85115466,"24,47,43,13,34,11,16,45,37","[24, 47, 43, 13, 34, 11, 16, 45, 37]",9
69233137,"43,38,9,17,47,6,2,34,37,8,46,15,11,1","[43, 38, 9, 17, 47, 6, 2, 34, 37, 8, 46, 15, 11, 1]",14
1425555,"16,17,47,2,44,10,25,40,46","[16, 17, 47, 2, 44, 10, 25, 40, 46]",9
90048,"9,38,28","[9, 38, 28]",3
88671647,"34,19,43,28,22,36,38,9","[34, 19, 43, 28, 22, 36, 38, 9]",8
63335298,"3,2,28,14,10,44,45,1,17","[3, 2, 28, 14, 10, 44, 45, 1, 17]",9
7649885,"38,43,5,9,21","[38, 43, 5, 9, 21]",5
87014673,"17,13,37,38,41,1,28,43,12,16,26,7,40,2","[17, 13, 37, 38, 41, 1, 28, 43, 12, 16, 26, 7, 40, 2]",14
31141008,"37,45,10","[37, 45, 10]",3
98570712,"4,1,13,2,20,32,40,25,46,23","[4, 1, 13, 2, 20, 32, 40, 25, 46, 23]",10
24020480,"41,26,1,40,4,37,34,43,32,25","[41, 26, 1, 40, 4, 37, 34, 43, 32, 25]",10
65946243,"45,38","[45, 38]",2
23489840,"44,6,30,23,1","[44, 6, 30, 23, 1]",5
66110466,45,[45],1
58033118,"42,39,43,9,16,22,13,1","[42, 39, 43, 9, 16, 22, 13, 1]",8
83232552,"1,17,31,30,37,40,20,25","[1, 17, 31, 30, 37, 40, 20, 25]",8
42439347,"42,44,7,23,6","[42, 44, 7, 23, 6]",5
45328856,"38,9,21,16,25,10,18,7,39","[38, 9, 21, 16, 25, 10, 18, 7, 39]",9
10936160,"18,36,26,40,23,2,9,43,42,45","[18, 36, 26, 40, 23, 2, 9, 43, 42, 45]",10
34572975,"39,43,23,10,6,29,24","[39, 43, 23, 10, 6, 29, 24]",7
1138375,"27,18,32,40,2","[27, 18, 32, 40, 2]",5
74232018,"11,6,30,43,7,45,40,18","[11, 6, 30, 43, 7, 45, 40, 18]",8
78444871,"32,33,29,16,17,21,43,20,25","[32, 33, 29, 16, 17, 21, 43, 20, 25]",9
32901372,"10,32,24,18,17,42,43,29,6,25,46,7","[10, 32, 24, 18, 17, 42, 43, 29, 6, 25, 46, 7]",12
25123355,"16,34,13,3,1,9,6,17,40,25,14","[16, 34, 13, 3, 1, 9, 6, 17, 40, 25, 14]",11
51378336,"23,7,27,6,40,46,20,32,22,13,43,10,9,16,19,28","[23, 7, 27, 6, 40, 46, 20, 32, 22, 13, 43, 10, 9, 16, 19, 28]",16
31844674,16,[16],1
23331315,"29,40,13,32,36,22,25,38","[29, 40, 13, 32, 36, 22, 25, 38]",8
6963783,"40,26,41,21,14,16,37,39,42,31,45,17","[40, 26, 41, 21, 14, 16, 37, 39, 42, 31, 45, 17]",12
42936664,"17,10,24,18","[17, 10, 24, 18]",4
42241118,"27,44,41,33,47,20,9,3,40,46","[27, 44, 41, 33, 47, 20, 9, 3, 40, 46]",10
39428251,"45,44,10,42,15,43,6,21,46,40,25,26","[45, 44, 10, 42, 15, 43, 6, 21, 46, 40, 25, 26]",12
48903401,"14,16,47,3,2,9,43","[14, 16, 47, 3, 2, 9, 43]",7
16093504,"44,45,42","[44, 45, 42]",3
57332738,"1,3,13,36,6,20,17,5,34,47,10","[1, 3, 13, 36, 6, 20, 17, 5, 34, 47, 10]",11
95410456,"42,10,2,37,18","[42, 10, 2, 37, 18]",5
19972779,"7,40,29,19,31,36,35,46,25","[7, 40, 29, 19, 31, 36, 35, 46, 25]",9
38088451,"20,25,1,44,11","[20, 25, 1, 44, 11]",5
30750733,"12,37,20,40,3,16,22","[12, 37, 20, 40, 3, 16, 22]",7
46526406,"43,9,23,47,13","[43, 9, 23, 47, 13]",5
72392686,"6,46,22,9,24,1,2","[6, 46, 22, 9, 24, 1, 2]",7
85426978,"22,17,1,39,8","[22, 17, 1, 39, 8]",5
25722617,"27,48,8,18,43,30","[27, 48, 8, 18, 43, 30]",6
69951050,"46,17","[46, 17]",2
79144010,"28,34,35,2,3","[28, 34, 35, 2, 3]",5
87881183,"44,10,31,23","[44, 10, 31, 23]",4
28827765,"47,1,32,10,2,45","[47, 1, 32, 10, 2, 45]",6
1425555,"13,42,28,20,46,6,24,47,40,21,8","[13, 42, 28, 20, 46, 6, 24, 47, 40, 21, 8]",11
3044320,"15,2,44,19,10,42,20,18,35,12,46","[15, 2, 44, 19, 10, 42, 20, 18, 35, 12, 46]",11
54770366,"36,22,30,37,27,4,8","[36, 22, 30, 37, 27, 4, 8]",7
11301874,"42,10,25,38,17,47,24,36,22","[42, 10, 25, 38, 17, 47, 24, 36, 22]",9
98007561,"18,27,19,24,41,2,1","[18, 27, 19, 24, 41, 2, 1]",7
86730933,"37,43,38,9,17","[37, 43, 38, 9, 17]",5
94159767,"28,41,33,19,29,42,47,43,46,24,40,32,48,30,17,2,16","[28, 41, 33, 19, 29, 42, 47, 43, 46, 24, 40, 32, 48, 30, 17, 2, 16]",17
88423751,"25,42,16,38,43,48,2,22,45","[25, 42, 16, 38, 43, 48, 2, 22, 45]",9
56653798,"38,28","[38, 28]",2
91598313,"18,25,15,42,2,44,47,17,23,36","[18, 25, 15, 42, 2, 44, 47, 17, 23, 36]",10
20485310,"35,2,3,48,8,27,28,10,17,40,41,25,46","[35, 2, 3, 48, 8, 27, 28, 10, 17, 40, 41, 25, 46]",13
72680040,"43,7,18,35,20,25,32,23,27,46","[43, 7, 18, 35, 20, 25, 32, 23, 27, 46]",10
99358201,"34,43,48,8,3,1,37,2","[34, 43, 48, 8, 3, 1, 37, 2]",8
77057735,"36,34,27,8","[36, 34, 27, 8]",4
72974741,"6,3,1,8,38,23,9","[6, 3, 1, 8, 38, 23, 9]",7
53938630,"6,20,46,1,9,38","[6, 20, 46, 1, 9, 38]",6
24018508,"13,15,1,25,20,36,23,21,48","[13, 15, 1, 25, 20, 36, 23, 21, 48]",9
22553580,"44,45,10,1","[44, 45, 10, 1]",4
51423768,"28,9,43,16,25,20,5","[28, 9, 43, 16, 25, 20, 5]",7
37740925,"6,47,17,19,16,40,42,36,1,38,12,21,2,44,10,46,14","[6, 47, 17, 19, 16, 40, 42, 36, 1, 38, 12, 21, 2, 44, 10, 46, 14]",17
70346311,"4,18,13,23,38","[4, 18, 13, 23, 38]",5
87733159,"27,42,44,28,41,10,32,40","[27, 42, 44, 28, 41, 10, 32, 40]",8
86103852,"34,5,45,2,38,46,12,3,47","[34, 5, 45, 2, 38, 46, 12, 3, 47]",9
35489044,"26,40,43,20,9,44,45","[26, 40, 43, 20, 9, 44, 45]",7
83392769,"24,21,8,14","[24, 21, 8, 14]",4
26622629,"40,9,43,44,42,38,15,22","[40, 9, 43, 44, 42, 38, 15, 22]",8
15295789,"9,23,39,37,27,32,46,20","[9, 23, 39, 37, 27, 32, 46, 20]",8
36468858,"13,48,43,32,40,1,35,44,2,17,28,18,34,37,22,8,39,29","[13, 48, 43, 32, 40, 1, 35, 44, 2, 17, 28, 18, 34, 37, 22, 8, 39, 29]",18
65500901,"47,3,42,6,12,19,2","[47, 3, 42, 6, 12, 19, 2]",7
64506183,"6,47,48,38,24,43,23,9,34,14,16,2,11,45,44,26,33,37,36,29,30,17","[6, 47, 48, 38, 24, 43, 23, 9, 34, 14, 16, 2, 11, 45, 44, 26, 33, 37, 36, 29, 30, 17]",22
83617723,"38,23,43,17,30,2,20,14,47,25,6","[38, 23, 43, 17, 30, 2, 20, 14, 47, 25, 6]",11
88229488,"9,44,46,25","[9, 44, 46, 25]",4
80615076,"26,19,2,18,23,9,48,17,1,3,42","[26, 19, 2, 18, 23, 9, 48, 17, 1, 3, 42]",11
50387153,"2,45,31","[2, 45, 31]",3
76487128,"16,8","[16, 8]",2
25517753,"20,17,47,6,2,28,23,13,34,27,24","[20, 17, 47, 6, 2, 28, 23, 13, 34, 27, 24]",11
88497198,"46,14,45,44,6,39","[46, 14, 45, 44, 6, 39]",6
22319578,"32,11,13,37,47,29,30,31,40,3,1,23,38,46,25,20,17,9,2,10,45,18,26","[32, 11, 13, 37, 47, 29, 30, 31, 40, 3, 1, 23, 38, 46, 25, 20, 17, 9, 2, 10, 45, 18, 26]",23
91860465,"20,2","[20, 2]",2
95088963,12,[12],1
16927412,"9,39,23,43","[9, 39, 23, 43]",4
70128744,"5,46,20","[5, 46, 20]",3
3860278,"1,3,39,6","[1, 3, 39, 6]",4
51114881,"17,12,41,26,44,34,40,32,29","[17, 12, 41, 26, 44, 34, 40, 32, 29]",9
68769317,"48,26,9,43,25,6,32,36,17,47,14,41,46","[48, 26, 9, 43, 25, 6, 32, 36, 17, 47, 14, 41, 46]",13
52423578,"8,1,16,10","[8, 1, 16, 10]",4
56423147,"6,31,45,15,2,4","[6, 31, 45, 15, 2, 4]",6
74236213,"33,32,20,39,34,25,46,16","[33, 32, 20, 39, 34, 25, 46, 16]",8
2640732,"32,1,3,33,26,43,28,23","[32, 1, 3, 33, 26, 43, 28, 23]",8
20286381,"25,32,3,48,22,45,46,2,1,40,4,8,17,47","[25, 32, 3, 48, 22, 45, 46, 2, 1, 40, 4, 8, 17, 47]",14
26289910,"36,18,27","[36, 18, 27]",3
87283452,"14,8,43,35,25,20,44","[14, 8, 43, 35, 25, 20, 44]",7
73678219,"16,41,27,47,23,43,26,17","[16, 41, 27, 47, 23, 43, 26, 17]",8
76806655,"9,33,25,15,39,37,5,6,1","[9, 33, 25, 15, 39, 37, 5, 6, 1]",9
45299103,"46,44,20,3,43,17,47,42,45","[46, 44, 20, 3, 43, 17, 47, 42, 45]",9
69871388,"3,37,15,17","[3, 37, 15, 17]",4
